INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-04-01T09:00:00-00:00,2022-04-01T10:00:00-00:00,2,2022-04-01,3,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,221.88,2DA,4
2022-04-01T08:00:00-00:00,2022-04-01T09:00:00-00:00,2,2022-04-01,2,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,226.49,2DA,4
2022-04-02T06:00:00-00:00,2022-04-02T07:00:00-00:00,2,2022-04-01,24,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,243.68,2DA,4
2022-04-02T04:00:00-00:00,2022-04-02T05:00:00-00:00,2,2022-04-01,22,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,277.84,2DA,4
2022-04-01T14:00:00-00:00,2022-04-01T15:00:00-00:00,2,2022-04-01,8,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,259,2DA,4
2022-04-02T05:00:00-00:00,2022-04-02T06:00:00-00:00,2,2022-04-01,23,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,261.24,2DA,4
2022-04-02T03:00:00-00:00,2022-04-02T04:00:00-00:00,2,2022-04-01,21,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,288.33,2DA,4
2022-04-02T01:00:00-00:00,2022-04-02T02:00:00-00:00,2,2022-04-01,19,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,286.65,2DA,4
2022-04-01T20:00:00-00:00,2022-04-01T21:00:00-00:00,2,2022-04-01,14,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,257.82,2DA,4
2022-04-01T19:00:00-00:00,2022-04-01T20:00:00-00:00,2,2022-04-01,13,0,2DA,BANCMID,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,256.15,2DA,4
